CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,22,76,47
2,Male,36,91,46
3,Female,32,35,4
4,Female,58,56,76
5,Male,55,124,25
6,Female,40,58,44
7,Male,20,89,65
8,Male,21,85,87
9,Male,39,21,22
10,Male,43,68,38
11,Male,33,64,85
12,Male,32,69,62
13,Female,30,40,67
14,Female,38,31,23
15,Male,18,48,40
16,Male,23,57,45
17,Male,30,91,28
18,Female,55,108,6
19,Male,27,97,37
20,Male,41,83,85
21,Female,42,34,51
22,Female,56,49,85
23,Male,56,66,54
24,Male,38,43,30
25,Male,32,75,83
26,Female,29,79,55
27,Female,35,74,75
28,Male,32,87,22
29,Female,46,36,77
30,Male,44,85,77
31,Male,47,42,57
32,Male,56,35,29
33,Male,64,74,49
34,Male,40,92,65
35,Male,54,73,56
36,Male,33,61,65
37,Male,55,68,76
38,Female,53,64,33
39,Male,52,30,20
40,Male,40,27,49
41,Female,29,58,41
42,Female,19,62,70
43,Female,38,60,22
44,Male,60,78,76
45,Male,34,54,85
46,Female,49,75,50
47,Female,50,56,51
48,Male,34,108,30
49,Female,57,62,36
50,Male,18,122,39
51,Female,21,69,87
52,Female,26,54,48
53,Female,27,36,16
54,Female,43,22,56
55,Female,42,34,71
56,Male,44,37,49
57,Male,47,70,88
58,Male,25,46,70
59,Male,21,65,23
60,Female,44,94,35
61,Male,30,58,56
62,Male,18,115,7
63,Female,52,29,58
64,Female,58,56,4
65,Male,60,46,76
66,Male,41,85,73
67,Male,47,15,63
68,Female,57,22,32
69,Male,29,57,54
70,Female,54,101,36
71,Male,42,66,23
72,Male,51,25,41
73,Female,41,29,68
74,Male,56,104,51
75,Male,41,44,87
76,Male,18,35,69
77,Male,59,99,67
78,Female,25,87,8
79,Male,56,94,42
80,Male,37,35,22
81,Male,55,20,45
82,Female,54,64,32
83,Female,44,69,40
84,Female,45,70,77
85,Female,44,99,62
86,Male,18,15,76
87,Male,40,83,8
88,Male,23,31,51
89,Male,41,83,75
90,Male,22,48,89
91,Female,22,39,10
92,Female,61,44,41
93,Female,53,22,76
94,Male,38,61,45
95,Female,41,40,26
96,Female,35,81,10
97,Female,46,77,25
98,Male,29,104,6
99,Male,52,70,51
100,Male,35,74,73
101,Male,32,97,17
102,Female,39,44,56
103,Male,30,21,72
104,Male,43,65,50
105,Female,31,23,8
106,Female,45,125,60
107,Male,55,98,48
108,Female,28,117,46
109,Male,37,62,36
110,Male,45,75,52
111,Male,32,48,63
112,Female,45,83,99
113,Female,46,28,53
114,Male,53,15,89
115,Female,30,39,59
116,Male,25,22,47
117,Female,34,99,54
118,Male,25,108,18
119,Male,46,23,58
120,Female,22,94,1
121,Female,70,85,27
122,Male,56,19,53
123,Male,39,50,81
124,Male,50,45,87
125,Male,18,80,44
126,Female,70,28,54
127,Female,30,57,75
128,Male,37,42,15
129,Male,18,72,60
130,Female,45,54,28
131,Male,23,46,45
132,Female,40,54,38
133,Male,31,114,61
134,Female,23,49,64
135,Female,27,33,73
136,Female,42,75,59
137,Female,20,56,54
138,Male,28,23,98
139,Female,48,119,10
140,Female,70,51,93
141,Male,45,50,42
142,Male,26,64,64
143,Male,33,106,41
144,Male,39,16,32
145,Male,33,67,62
146,Female,51,115,77
147,Male,41,63,62
148,Female,51,28,36
149,Male,34,44,99
150,Male,57,65,81
151,Male,36,95,74
152,Male,25,51,41
153,Male,69,82,34
154,Male,18,22,42
155,Male,28,22,78
156,Female,30,47,24
157,Female,70,98,22
158,Male,64,62,64
159,Female,59,68,58
160,Female,34,67,30
161,Male,70,89,22
162,Female,43,44,87
163,Female,52,78,59
164,Male,41,38,14
165,Male,38,112,16
166,Male,35,39,40
167,Male,35,37,69
168,Female,47,74,65
169,Male,43,62,79
170,Female,38,69,11
171,Female,59,66,55
172,Female,18,31,87
173,Female,45,102,84
174,Male,48,84,59
175,Male,54,96,99
176,Female,37,46,65
177,Male,41,71,77
178,Male,52,65,51
179,Female,59,90,30
180,Female,34,91,27
181,Male,42,65,54
182,Female,62,20,44
183,Female,18,107,4
184,Male,29,75,23
185,Male,59,44,41
186,Female,54,71,68
187,Male,46,20,49
188,Male,32,88,48
189,Male,26,21,24
190,Female,30,54,50
191,Male,60,66,84
192,Male,30,87,54
193,Male,40,63,11
194,Female,28,77,17
195,Male,50,59,65
196,Female,31,59,44
197,Female,37,62,48
198,Male,18,55,34
199,Female,18,16,63
200,Female,38,40,42
201,Female,20,66,45
202,Male,68,54,28
203,Female,18,56,74
204,Female,27,52,44
205,Female,39,37,65
206,Male,33,47,19
207,Female,23,52,94
208,Male,25,60,83
209,Male,25,70,1
210,Male,34,55,29
211,Female,66,33,62
212,Male,39,23,16
213,Female,55,128,46
214,Female,45,30,61
215,Male,54,46,45
216,Female,18,74,64
217,Male,34,70,32
218,Male,57,74,1
219,Female,30,48,75
220,Female,63,66,75
221,Female,59,62,99
222,Female,32,52,1
223,Male,31,67,69
224,Male,24,88,1
225,Female,30,59,95
226,Male,21,60,62
227,Male,44,88,25
228,Female,18,85,70
229,Male,47,102,35
230,Male,47,15,57
231,Female,18,84,55
232,Female,60,76,95
233,Female,46,37,97
234,Female,49,67,34
235,Male,28,88,77
236,Female,47,38,59
237,Female,54,72,13
238,Male,37,83,32
239,Male,66,32,99
240,Female,39,56,59
241,Female,54,68,76
242,Female,42,39,44
243,Female,47,37,36
244,Female,18,57,50
245,Female,44,81,43
246,Female,28,77,11
247,Male,27,37,24
248,Female,63,77,68
249,Male,35,38,40
250,Female,24,18,50
251,Female,33,50,56
252,Female,20,90,58
253,Female,58,77,79
254,Male,29,60,21
255,Male,46,49,64
256,Male,57,50,69
257,Female,31,63,75
258,Female,46,32,13
259,Female,24,51,56
260,Male,70,54,94
261,Male,51,25,47
262,Female,36,38,62
263,Male,28,71,70
264,Female,37,60,23
265,Female,34,52,97
266,Female,66,36,63
267,Male,21,101,63
268,Female,40,38,7
269,Male,38,67,70
270,Female,37,47,63
271,Male,37,61,92
272,Male,37,72,42
273,Female,51,24,24
274,Male,47,60,32
275,Female,44,91,37
276,Female,18,106,21
277,Female,43,57,83
278,Female,18,61,84
279,Male,47,118,45
280,Female,59,90,40
281,Male,25,44,3
282,Male,35,44,68
283,Female,30,85,92
284,Male,56,34,33
285,Female,40,89,47
286,Female,62,69,61
287,Female,44,74,94
288,Female,42,53,55
289,Male,39,44,55
290,Female,50,98,54
291,Female,18,54,13
292,Male,40,49,12
293,Male,37,58,29
294,Female,48,65,76
295,Male,36,33,41
296,Male,24,45,36
297,Female,38,44,36
298,Female,23,82,46
299,Female,18,37,94
300,Female,49,15,46
301,Female,46,15,29
302,Male,45,21,50
303,Male,57,96,95
304,Male,29,60,37
305,Female,18,73,19
